BORO_NM,LAW_CAT_CD,sum_counts,population,norm_counts
BRONX,FELONY,28797,1471160,0.0195743494929172
BRONX,MISDEMEANOR,59333,1471160,0.040330759400745
BRONX,VIOLATION,15368,1471160,0.0104461785257892
BROOKLYN,FELONY,44238,2648771,0.0167013305415983
BROOKLYN,MISDEMEANOR,73709,2648771,0.0278276226974699
BROOKLYN,VIOLATION,19794,2648771,0.00747289969574569
MANHATTAN,FELONY,35391,1664727,0.0212593416217794
MANHATTAN,MISDEMEANOR,65814,1664727,0.0395344101465285
MANHATTAN,VIOLATION,13271,1664727,0.00797187767123378
QUEENS,FELONY,29468,2358582,0.0124939476346381
QUEENS,MISDEMEANOR,47994,2358582,0.020348667122873
QUEENS,VIOLATION,14274,2358582,0.00605194137833664
STATEN ISLAND,FELONY,4771,479458,0.00995081946698147
STATEN ISLAND,MISDEMEANOR,11915,479458,0.0248509775621639
STATEN ISLAND,VIOLATION,4624,479458,0.00964422326877432
